signal_time,entry_time,exit_time,direction,entry,stop,target,risk_price,risk_money,units,result,R,gross_pnl,net_pnl,reason,balance_after,equity
2025-05-29 07:40:00+00:00,2025-05-29 07:45:00+00:00,2025-05-29 07:50:00+00:00,LONG,3274.2,3271.89,3278.8199999999997,2.3099999999999454,96.85653973710488,41.929237981431676,LOSS,-1.0,-96.85653973710488,-96.85653973710488,Below PDL -> green reversal -> break green high,9588.797433973383,9588.797433973383
2025-05-29 08:00:00+00:00,2025-05-29 08:05:00+00:00,2025-05-29 08:10:00+00:00,LONG,3269.98,3269.08,3271.78,0.900000000000091,95.88797433973383,106.5421937108046,LOSS,-1.0,-95.88797433973383,-95.88797433973383,Below PDL -> green reversal -> break green high,9492.909459633649,9492.909459633649
2025-05-29 08:25:00+00:00,2025-05-29 08:55:00+00:00,2025-05-29 09:10:00+00:00,LONG,3272.17,3268.45,3279.6100000000006,3.7200000000002547,94.9290945963365,25.518573816217742,LOSS,-1.0,-94.9290945963365,-94.9290945963365,Below PDL -> green reversal -> break green high,9397.980365037312,9397.980365037312
2025-05-29 09:15:00+00:00,2025-05-29 09:20:00+00:00,2025-05-29 10:15:00+00:00,LONG,3272.72,3268.09,3281.979999999999,4.629999999999654,93.97980365037313,20.29801374738232,WIN,2.0,187.95960730074626,187.95960730074626,Below PDL -> green reversal -> break green high,9585.93997233806,9585.93997233806
2025-06-06 17:25:00+00:00,2025-06-06 17:30:00+00:00,2025-06-13 04:45:00+00:00,LONG,3325.05,3271.82,3431.51,53.23000000000002,95.85939972338059,1.800852897301908,WIN,2.0,191.71879944676118,191.71879944676118,Below PDL -> green reversal -> break green high,9777.65877178482,9777.65877178482
2025-06-12 15:00:00+00:00,2025-06-17 06:20:00+00:00,2025-06-17 06:25:00+00:00,SHORT,3376.42,3382.56,3364.1400000000003,6.139999999999873,97.7765877178482,15.924525686946291,LOSS,-1.0,-97.7765877178482,-97.7765877178482,Above PDH -> green -> red reversal -> break red low,9679.882184066972,9679.882184066972
2025-06-17 12:00:00+00:00,2025-06-17 12:20:00+00:00,2025-06-17 13:05:00+00:00,LONG,3381.33,3377.84,3388.3099999999995,3.4899999999997817,96.79882184066972,27.736052103345493,WIN,2.0,193.59764368133943,193.59764368133943,Below PDL -> green reversal -> break green high,9873.479827748311,9873.479827748311
2025-06-17 17:40:00+00:00,2025-06-17 17:45:00+00:00,2025-06-18 07:40:00+00:00,LONG,3376.63,3366.15,3397.59,10.480000000000018,98.73479827748312,9.42125937762242,WIN,2.0,197.46959655496624,197.46959655496624,Below PDL -> green reversal -> break green high,10070.949424303277,10070.949424303277
2025-06-18 23:15:00+00:00,2025-06-18 23:20:00+00:00,2025-06-19 01:00:00+00:00,LONG,3365.53,3362.56,3371.4700000000007,2.9700000000002547,100.70949424303276,33.908920620546844,WIN,2.0,201.41898848606553,201.41898848606553,Below PDL -> green reversal -> break green high,10272.368412789343,10272.368412789343
2025-06-19 09:10:00+00:00,2025-06-19 09:50:00+00:00,2025-06-19 10:15:00+00:00,LONG,3357.9,3354.19,3365.32,3.7100000000000364,102.72368412789343,27.688324562774238,LOSS,-1.0,-102.72368412789343,-102.72368412789343,Below PDL -> green reversal -> break green high,10169.64472866145,10169.64472866145
